,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
Obyvatelstvo - ekon. aktivita: pracující žáci a studenti - celkem,0.9418205154321448,-0.10219446999276939,0.01457631763542849,-0.014004281714011208,0.007750043139154833,-0.04168402491113369,-0.01893965546279984,0.01891941839659603,-0.018930835832190167,0.008601498202887631,0.01166822956587354,0.0077999622171687965,-0.006040943266733333,0.003828489021965893,0.014308244741181326,0.00326004834210376,0.008470826358206276,0.014330703194838083,-0.000887051766430029,0.004924996865497455,-0.0015685197241848614,0.002277407958580184,0.0011257974790595047,-0.0016729547559160127,-0.004522985578310283,0.008150111588079595,0.0053754595127188855,0.0020087313405163557,0.00231045784288232
Obyvatelstvo - ekon. aktivita: pracující důchodci - celkem,0.971538728799802,-0.07899998041226644,0.013419281409146411,-0.05365366862429294,0.021627553801781607,-0.03338957947346655,-0.009192517999445645,0.006139417897347994,-0.019425032063416805,0.0046168597903404746,0.005961831919242535,-0.0023406884818703557,-0.003773896741151975,0.00538228892890346,0.009485212466345575,0.008648188808866373,0.009968866683434453,0.0011063534296596922,0.005223698060384669,0.0012646505247814006,0.0019811561361530584,0.0027668046167538783,0.0012473508027868612,-0.0024525462450877256,-0.0019930403267156356,0.004964150274011837,0.0027056814181420346,0.0005547240162526881,-0.0005368321905079948
Obyvatelstvo - ekon. aktivita: osoby na mateřské dovolené - celkem,0.9181890674129475,-0.08309537486015879,0.020086528717959157,-0.045658068053626974,0.027713325802354336,-0.03834768126949424,-0.017249061308698674,0.022579337015880524,-0.02358122085045946,-0.0021875464349544946,-0.00041942702030668385,-0.0004203165403046454,-0.010260661551558236,0.0038704906462004164,0.0037920487976353685,-0.002337131841919047,0.013293574767475074,5.388996764941878e-05,0.0005215144339363976,0.0007886330340739024,-0.007480594888534689,0.0006324512381519726,-0.005309208474241643,-0.006059700897614821,-0.0019191990590676042,0.0030309796209853157,0.0038820820293405727,0.00014328103126628466,0.0002987254477121845
Obyvatelstvo - ekon. aktivita: nezaměstnaní - celkem,0.8926374707194276,-0.08062465625427646,-0.0022949301848386723,-0.0632514014894794,0.023280212460745534,-0.023759548531748054,0.014074201298185996,-0.01571240956857327,-0.01407583017971097,0.010688415051491335,0.012850304725766476,-0.011019763187192553,0.013965114089507586,-0.005377964347549855,0.01140950410764597,0.014353754164782252,0.005286588188332035,-0.00973571757857005,-0.0020866146294392118,-0.011853589241032322,0.01091867278726129,0.0028663500602675363,0.011910219618236573,0.004218361924412315,-0.0007773899165182252,-0.0005089314462042767,0.0030240420727138556,-0.004973048683624852,0.0026279092472735804
Obyvatelstvo - mimo pracovní sílu - celkem,0.9859297807434589,-0.0767909399661208,0.017259737221024328,-0.0533780833668286,0.027985884637519345,-0.0335178030705879,-0.006201808459801756,0.007077008506779043,-0.01464097046794794,0.0013085718411412414,0.0024940553954723656,-0.007890330079892226,5.80592674627628e-06,-0.004249057628643338,0.007298326441158519,0.006584049434763061,0.008028957882670128,-0.0009424831852277381,0.0022559524964873264,-0.002107572817497892,0.0006214647519152103,0.00037200939524827977,-0.0008319081863513727,-0.004566071039686884,-0.00335010823908897,0.0010005152914097024,0.00027308796398449773,-0.0031785379009303537,1.9172184430632135e-05
Obyvatelstvo - ekon. aktivita: nepracující důchodci - celkem,0.9609721059587895,-0.06715025738006565,0.012758172371496462,-0.050057648258595454,0.02521275754476392,-0.03672173288183347,-0.004467216487752496,0.00814192153585826,-0.015596831433269068,-0.0010683496462229808,0.005578605802466046,-0.015747581451867006,-5.4118235600288145e-05,-0.006043532335046431,0.008646477372937009,0.010090316978863843,0.00842107218681512,-0.004673289767199893,-7.627404378161231e-05,-0.0039327143285743,0.0030222897423670685,0.00210725527279458,-0.0026513908114115413,-0.004976074976970225,-0.0038230540168515503,0.0029891326847399638,0.00030653519478503893,-0.003922048405295594,-0.00026809199144790585
Obyvatelstvo - ekon. aktivita: ostatní s vlastním zdrojem obživy - celkem,0.7912641563869087,-0.07901956052956945,0.013233778700817003,-0.03199569427162099,0.0077133434269948155,-0.010757667439134793,-0.012166935714378919,-0.022006777472444033,-0.003403184756588163,0.007281631677726583,-0.012624469800532726,-0.008916152339205612,0.007613116507696514,-0.0008282855761624106,0.022069089229876653,-0.0003103202049503615,-0.003220581551986802,0.0038129968331003347,-0.028767838581935164,0.008768836052751946,0.004233019361734695,0.017409370853457846,0.006035168410898155,0.013394133812204513,-0.0019075415228966231,0.02036703967096039,0.026815307450022047,0.004676969019612099,0.012296682400920316
Obyvatelstvo - ekon. aktivita: osoby na rodičovské dovolené - celkem,0.9744371213458761,-0.0791584622507063,0.020266925844893896,-0.05006093907203586,0.028131281588854574,-0.0345830149747824,-0.012075399105731566,0.010366032262632423,-0.01847126516034584,0.0017971921256103283,-0.0006484398841339066,-0.0031627679818172247,-0.004312668246067708,-0.0009489210125686717,0.005251179992625775,0.0008018116904813517,0.008286883868662323,0.0024376427593885554,0.00717997030727376,-0.0010138846443494389,-0.0007587146669177071,-0.0038960106557884063,-0.0015867457758350376,-0.0095425493122764,-0.0032025522322398203,-0.0015662777627317708,-0.0013925684810955968,-0.0019069068388822344,-0.00044164430644994993
"Obyvatelstvo - ekon. aktivita: osoby v domácnosti, děti předškolního věku, ostatní závislé osoby - celkem",0.9732728349323713,-0.08776006049903347,0.021656511604236473,-0.05379225011505239,0.029165570665865757,-0.029711782279868322,-0.005090628859356082,0.0035801265755893135,-0.018119631698481197,0.004283510953507978,-0.0008532517112342356,0.002409366800596763,0.00029923380063057896,-0.0003901453852282086,0.006292902433733306,0.0037184166609850575,0.009237531295652494,0.0008485367433310055,0.004052333639314077,-0.0011383244982003697,-1.8385173271841896e-05,-0.0011967133967396735,0.002616207050383182,-0.006504728603076997,-0.0012058513865493413,-0.0019509068915308733,7.685903470705043e-05,0.0009405480355288043,0.0012104032891107268
"Obyvatelstvo - ekon. aktivita: žáci, studenti - celkem",0.9811644717089213,-0.08161318807359551,0.02080442697564672,-0.05632603936425353,0.03050961541553552,-0.028471050174472476,-0.00845287224045921,0.006748439802136145,-0.00962169887385855,0.0033350773739943577,-0.00022144403502353513,-0.0010003554014781557,0.0005164694296928892,-0.0038097430604576202,0.00534334687962972,0.0029461325166669,0.006255355089527837,0.0037744435948774712,0.0045694428998170585,0.0002354900501302155,-0.002915236633433531,-0.0011733518003947917,0.0002807518656256107,-0.0018769326001457194,-0.003667211114217332,-0.00047557967644473666,0.00028562174969962894,-0.004467065373228032,-0.0002678841966886894
Počet osob v bytech celkem  s právním důvodem užívání: ve vlastním domě,0.049968923390562116,0.5561346089329072,0.6557867270107113,0.04538242763610124,0.007798762815651153,-0.07319081228607159,0.06036212685459094,-0.014328599953067843,0.050992939600408745,-0.005455738878717055,-0.020176542552427672,0.04740168194875984,-0.030202765472679787,0.156085669479274,0.10759708801857336,0.005103388647884922,-0.0453396449866297,-0.021209061357785833,-0.044592014666326375,0.01826305278328938,0.021207035414711334,0.06548779377762078,-0.049988853082425615,0.06024466121318872,-0.08705303126179066,0.018986931036462117,-0.015370457862226853,0.03577644292891434,0.015529523998607282
Počet osob v bytech celkem  s právním důvodem užívání: v osobním vlastnictví,-0.15294325869639963,-0.4639896970599782,-0.35468237982661016,-0.12487053510835236,-0.2066471753166192,-0.011925498305490856,-0.03177184055557435,0.07193087492258261,-0.30922110369112243,0.036620071185957837,0.027271565399145003,-0.18446896714165506,0.009780222733959922,-0.1161278504327085,0.029587664003161342,0.0751875019418963,0.18001909608411812,0.018043636108853955,0.03745841996445438,0.017330318747678278,0.06869059322613931,-0.04606952270747295,0.07892864210904428,-0.05194104085295303,-0.024939602662738137,-0.03862192230608671,0.12079638694031306,-0.016051864093695394,0.022325284384066144
Počet osob v bytech celkem  s právním důvodem užívání: nájemní / pronajatý,-0.08523790202722978,-0.48552342154955064,-0.510438325602442,-0.0035482215763824694,0.12138764488342765,0.043937090866512526,-0.013000964880754277,0.03382263183538346,-0.07319524031662782,0.0014746752630070072,0.033668986168028506,-0.29242949539814683,-0.04927882861579554,-0.05269357564413508,0.019986092143077373,-0.004586143505640806,0.006454262532171387,0.032194961115678634,-0.042884935827369686,-0.022944912909331563,0.07429707415209352,0.00961553508169053,0.07605576750600118,0.022229109210892512,-0.12215388777282396,0.08867976603442473,0.13520327824720044,0.028612735371250465,-0.03488457756860485
Počet osob v bytech celkem  s právním důvodem užívání: družstevní,-0.0544949555259262,-0.1588108205505088,-0.19343910736208972,-0.05608018259809651,-0.07347934122539962,-0.014822691600170938,0.017503628957981514,0.04417453971843195,-0.15778141240068497,0.06355341058878455,0.04357275080538742,-0.18996444522420536,-0.006606545825413479,-0.1307507496565787,0.051917958770653805,0.007190106480198403,0.25449806154555876,0.1460862970929361,0.237327747135636,0.02574319183070911,-0.15041380634714552,0.16755341721752837,-0.14412309444701865,-0.06719483959546606,0.6119960160052684,0.1944606634592394,-0.23568925298855206,-0.20854712017955807,0.010374374727424127
Obyvatelstvo - s trvalým pobytem - celkem,0.11773491536028723,0.011046840572053252,-0.05617651474156215,0.887659944884744,-0.31453478131946677,-0.196183232773136,0.009996822402488396,-0.05730742662969782,-0.07486031839342043,-0.12521652791297858,0.0727689768008469,-0.03251866209088051,-0.013981649263604689,-0.0072647731923833015,-0.018417865933306344,0.015171340798796644,0.016571897008526213,0.021469549006472126,0.0015625917020962573,-0.017322344834081946,-0.015665828954903444,-0.01195532179392328,-0.01199394867865774,-0.0001634874721600412,-0.01112034928182153,-0.01511241619886743,-0.019018843480359992,0.011124140654615132,0.005709671237943622
Obyvatelstvo - s dlouhodobým pobytem - celkem,0.10089616474990346,-0.11769524216485912,-0.10312795644769804,0.7581810235411759,-0.2457057681921799,-0.16598316668496196,0.017213394106065885,0.07962587701403201,-0.019641834653571652,-0.12709532985207758,0.042392046049292656,0.08490350332231908,0.01656085242768783,-0.028752313938057376,0.0012143711939099175,-0.032692192302867754,-0.0020407659738944646,-0.059791253788446214,-0.002542089382730412,0.022590581416882995,-0.03548862295794934,0.03221409942159149,0.00902635336309327,-0.017580233141165896,-0.007452430073082468,0.014590376647557054,0.026462524731126348,-0.020277050485513683,0.013780704477288809
Obyvatelstvo - bydliště po narození v obci obvyklého bydliště -  celkem,0.1092959749375967,0.009966351766137372,-0.04612179663334872,0.881393891148039,-0.3118598303515646,-0.2022901204607825,-0.0016193933878721168,-0.03193192896314961,-0.08297000136855465,-0.1204170921451358,0.08118950686587521,-0.048568836133815,-0.01634610526997902,-0.01254998152891933,-0.018262779574462314,0.016395889077295323,0.028795686546368385,0.021100612249452363,0.007662188317073065,-0.026470839195829828,-0.018172850356596226,-0.008250261208041874,-0.007516022607279345,0.0010203872562445418,-0.014313861596295843,-0.013935544630161298,-0.012428538266744987,0.010689220211442849,0.00641003408647868
Obyvatelstvo - bydlící před rokem ve stejné obci - celkem,0.11617318556403537,0.00590220011026885,-0.056765412913951784,0.8909185010663204,-0.317529650004169,-0.1982145891248723,0.011542641549753362,-0.04976228454285609,-0.07431201583938876,-0.1283844816635179,0.07455239384953644,-0.029010113671364725,-0.013099102080903553,-0.011084040901024121,-0.016507137159692625,0.012287330293524829,0.018543689978694457,0.016465074812928047,0.002853252887973823,-0.017738643191524833,-0.019017058875707527,-0.008296816043296119,-0.011705594624263195,-0.0003368255367345993,-0.012965164845566632,-0.01363532458722408,-0.01648040393539523,0.009341849539154012,0.006895757067073794
Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnanci - celkem,-0.05200240630697745,-0.27740303397225763,0.17337628785552808,-0.028271021608198155,-0.10362795689339344,-0.05731302036145524,0.5097983541125104,0.5877712310829024,-0.17888761577514636,0.1186228950636383,0.007399933539571518,0.08731348855979215,-0.11910772889313088,-0.06224177004203223,-0.05122510970031882,-0.04505630125250315,-0.05856882622633273,0.034434125329779186,0.0002442828143850091,0.04453941713763247,-0.015940361738724994,-0.005762147410210426,-0.07583938817586544,0.08646872918772312,-0.006846222547708376,0.1481689051036001,0.013520557590975276,0.034086160323183054,0.05178476640021379
