kod_nadzsj_d,Obyvatelstvo - zaměstnaní - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnanci - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnavatelé - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: osoby pracující na vlastní účet - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: nezjištěno - celkem,Obyvatelstvo - zaměstnaní - věk: 15 - 24  - celkem,Obyvatelstvo - zaměstnaní - věk: 25 - 34  - celkem,Obyvatelstvo - zaměstnaní - věk: 35 - 44  - celkem,Obyvatelstvo - zaměstnaní - věk: 45 - 54  - celkem,Obyvatelstvo - zaměstnaní - věk: 55 - 59  - celkem,Obyvatelstvo - zaměstnaní - věk: 60 - 64  - celkem,Obyvatelstvo - zaměstnaní - věk: 65 a více  - celkem
50009725,686,478,4,155,49,38,325,232,59,20,5,7
1276710,0,0,0,0,0,0,0,0,0,0,0,0
1279140,0,0,0,0,0,0,0,0,0,0,0,0
1281040,0,0,0,0,0,0,0,0,0,0,0,0
3058120,0,0,0,0,0,0,0,0,0,0,0,0
3058470,0,0,0,0,0,0,0,0,0,0,0,0
3069160,0,0,0,0,0,0,0,0,0,0,0,0
3157960,0,0,0,0,0,0,0,0,0,0,0,0
3158180,0,0,0,0,0,0,0,0,0,0,0,0
3159150,0,0,0,0,0,0,0,0,0,0,0,0
3159230,0,0,0,0,0,0,0,0,0,0,0,0
3159310,0,0,0,0,0,0,0,0,0,0,0,0
3160410,0,0,0,0,0,0,0,0,0,0,0,0
3205100,0,0,0,0,0,0,0,0,0,0,0,0
3207810,0,0,0,0,0,0,0,0,0,0,0,0
50011901,193,136,1,33,23,30,83,43,21,7,4,5
50011902,1626,1125,7,342,152,106,325,361,444,164,114,112
50011903,419,277,7,84,51,31,49,109,122,33,30,45
50011905,17,13,0,1,3,1,1,7,6,0,1,1
50011906,43,36,0,2,5,2,3,1,23,3,4,7
50011907,4414,3217,21,766,410,263,1028,1174,861,455,296,337
50011908,770,573,5,131,61,36,196,218,160,55,47,58
50011909,1521,1022,17,348,134,85,197,375,349,179,136,200
50011911,1347,950,14,249,134,88,226,341,357,109,74,152
50011912,66,39,0,10,17,40,22,0,4,0,0,0
50011913,190,128,1,34,27,15,23,39,57,19,18,19
50011914,942,683,5,143,111,50,172,211,241,117,71,80
50011915,415,283,3,73,56,18,83,117,83,60,30,24
50011916,389,258,2,78,51,26,79,91,84,28,24,57
50011917,278,198,3,49,28,21,58,54,65,29,22,29
50011918,2113,1512,9,357,235,144,614,531,377,161,139,147
50011919,48,36,0,1,11,3,35,6,2,1,0,1
50011920,3751,2753,24,603,371,238,828,926,905,361,181,312
50011921,59,53,0,1,5,4,13,11,19,9,2,1
50011922,1969,1420,12,342,195,154,600,452,341,148,126,148
50011923,1438,985,9,300,144,69,272,354,326,144,102,171
50011924,1055,724,9,210,112,60,260,247,209,94,68,117
50011926,591,350,3,135,103,24,117,163,171,69,30,17
50011927,648,482,4,98,64,52,216,183,129,35,23,10
50011928,1114,842,6,125,141,70,216,195,296,187,86,64
50011930,1305,905,4,259,137,78,312,306,301,119,66,123
50011931,80,56,0,12,12,6,15,25,17,9,5,3
50011932,150,114,1,24,11,9,39,35,27,20,7,13
50011933,261,192,0,41,28,21,106,74,47,4,4,5
50011934,2907,2077,12,520,298,194,796,735,573,252,133,224
50011936,2707,1944,18,513,232,166,783,720,544,204,150,140
50011937,129,88,0,25,16,6,58,34,17,10,2,2
50011938,2588,1842,12,475,259,158,654,651,524,268,141,192
50011941,1942,1395,7,316,224,123,443,483,368,192,150,183
50011943,3271,2339,6,577,349,239,998,735,591,289,201,218
50011944,2153,1525,9,389,230,142,645,480,414,196,109,167
50011945,1519,1055,4,288,172,142,498,367,247,111,62,92
50011947,65,45,0,16,4,2,33,13,15,0,0,2
50011948,3435,2415,14,675,331,257,1101,829,628,290,143,187
50011949,504,222,1,67,214,26,125,138,138,28,19,30
50011950,2632,1778,11,544,299,206,807,648,514,200,127,130
50011951,3733,2569,13,708,443,313,1306,914,633,236,155,176
50011952,1393,941,7,287,158,108,504,299,245,97,72,68
50011953,2760,1849,17,613,281,155,774,727,557,201,137,209
50011954,11,8,0,3,0,1,2,1,6,1,0,0
50011955,1565,1060,15,345,145,86,393,416,337,128,81,124
50011956,1334,840,12,316,166,131,345,290,230,106,116,116
50011957,1206,852,9,237,108,66,267,290,245,139,104,95
50011958,823,570,2,165,86,45,174,209,189,73,54,79
