kod_nadzsj_d,Obyvatelstvo celkem,Obyvatelstvo celkem - muži,Obyvatelstvo celkem - ženy,Obyvatelstvo - státní občanství: Česká republika - celkem,Obyvatelstvo - státní občanství: Česká republika - muži,Obyvatelstvo - státní občanství: Česká republika - ženy,Obyvatelstvo - státní občanství: Slovenská republika - celkem,Obyvatelstvo - státní občanství: Slovenská republika - muži,Obyvatelstvo - státní občanství: Slovenská  republika - ženy,Obyvatelstvo - státní občanství: země EU mimo ČR - celkem,Obyvatelstvo - státní občanství: země EU mimo ČR - muži,Obyvatelstvo - státní občanství: země EU mimo ČR - ženy,Obyvatelstvo - bez státního občanství - celkem,Obyvatelstvo - bez státního občanství - muži,Obyvatelstvo - bez státního občanství - ženy,Obyvatelstvo - státní občanství: nezjištěno - celkem,Obyvatelstvo - státní občanství: nezjištěno - muži,Obyvatelstvo - státní občanství: nezjištěno - ženy
55097330,5630,2752,2878,5064,2420,2644,134,72,62,196,113,83,1,1,0,98,51,47
55097331,2115,1073,1042,1798,904,894,60,32,28,99,54,45,5,3,2,70,35,35
55097332,4137,2023,2114,3663,1758,1905,107,58,49,163,99,64,1,0,1,91,50,41
55097333,5090,2543,2547,4380,2157,2223,165,94,71,252,147,105,0,0,0,168,83,85
55097334,1214,563,651,1035,457,578,35,20,15,45,28,17,0,0,0,15,10,5
55097335,1351,740,611,938,485,453,38,20,18,65,41,24,0,0,0,34,25,9
55097336,58,28,30,46,25,21,2,0,2,3,0,3,0,0,0,2,1,1
55097337,1011,550,461,755,390,365,22,12,10,39,26,13,0,0,0,21,15,6
55097338,2081,1061,1020,1686,855,831,67,33,34,91,51,40,5,3,2,54,28,26
55097339,2304,1149,1155,1961,953,1008,59,29,30,102,59,43,0,0,0,46,19,27
55097340,37,21,16,29,18,11,2,1,1,3,2,1,0,0,0,0,0,0
55097341,1275,724,551,945,488,457,40,23,17,50,29,21,0,0,0,19,14,5
55097342,1267,682,585,965,515,450,35,24,11,58,38,20,0,0,0,34,24,10
55097343,1298,665,633,1094,555,539,41,23,18,58,33,25,1,1,0,33,18,15
55097344,395,207,188,318,161,157,17,13,4,32,23,9,2,1,1,4,2,2
55098101,206,107,99,198,103,95,3,1,2,4,1,3,1,1,0,0,0,0
55098102,55,24,31,55,24,31,0,0,0,0,0,0,0,0,0,0,0,0
55099001,26,16,10,26,16,10,0,0,0,0,0,0,0,0,0,0,0,0
55099002,1958,893,1065,1823,811,1012,16,10,6,39,26,13,0,0,0,17,6,11
55099003,1272,601,671,1177,557,620,36,19,17,43,24,19,0,0,0,10,4,6
55099004,1647,773,874,1542,712,830,24,17,7,35,25,10,0,0,0,17,11,6
55099005,2919,1387,1532,2743,1289,1454,51,26,25,76,44,32,0,0,0,19,12,7
55099006,1827,837,990,1730,786,944,37,15,22,48,24,24,0,0,0,18,9,9
55099007,1100,532,568,1034,496,538,19,12,7,27,16,11,0,0,0,13,8,5
55099008,2223,1091,1132,2066,1003,1063,26,16,10,51,34,17,0,0,0,17,12,5
55099009,2489,1147,1342,2338,1058,1280,45,26,19,67,40,27,0,0,0,23,14,9
55099010,724,355,369,704,341,363,3,2,1,5,3,2,0,0,0,2,1,1
55099011,2104,1007,1097,2022,964,1058,27,14,13,38,22,16,0,0,0,9,3,6
